iter	Passed	Remaining
373	5150	8621
374	5161	8602
375	5175	8588
376	5189	8575
377	5203	8562
378	5218	8550
379	5233	8538
380	5245	8521
381	5258	8507
382	5272	8493
383	5286	8480
384	5300	8467
385	5315	8455
386	5329	8442
387	5342	8426
388	5356	8413
389	5371	8401
390	5385	8388
391	5399	8375
392	5412	8360
393	5425	8344
394	5438	8330
395	5452	8316
396	5465	8301
397	5480	8290
398	5496	8278
399	5510	8266
400	5522	8249
401	5535	8234
402	5551	8224
403	5566	8211
404	5581	8199
405	5595	8186
406	5607	8169
407	5618	8153
408	5633	8140
409	5646	8126
410	5661	8114
411	5675	8100
412	5686	8082
413	5703	8072
414	5717	8059
415	5731	8046
416	5745	8032
417	5761	8021
418	5775	8009
419	5789	7995
420	5800	7977
421	5814	7963
422	5827	7949
423	5840	7934
424	5852	7917
425	5864	7901
426	5877	7887
427	5891	7873
428	5905	7860
429	5916	7843
430	5930	7829
431	5947	7820
432	5962	7808
433	5980	7799
434	5994	7785
435	6007	7771
436	6021	7757
437	6035	7744
438	6048	7729
439	6061	7714
440	6073	7698
441	6087	7684
442	6100	7670
443	6110	7652
444	6126	7640
445	6140	7627
446	6154	7613
447	6168	7601
448	6183	7588
449	6199	7576
450	6213	7563
451	6224	7546
452	6238	7533
453	6253	7520
454	6266	7506
455	6281	7493
456	6292	7476
457	6304	7461
458	6318	7447
459	6332	7434
460	6346	7419
461	6357	7403
462	6372	7390
463	6386	7377
464	6400	7364
465	6415	7351
466	6430	7339
467	6444	7325
468	6455	7309
469	6469	7295
470	6481	7280
471	6496	7267
472	6510	7253
473	6524	7240
474	6536	7224
475	6548	7208
476	6562	7195
477	6576	7182
478	6590	7168
479	6601	7151
480	6616	7139
481	6632	7127
482	6647	7115
483	6662	7103
484	6677	7090
485	6692	7077
486	6706	7064
487	6717	7048
488	6731	7034
489	6746	7021
490	6760	7008
491	6775	6996
492	6788	6980
493	6801	6966
494	6813	6950
495	6826	6936
496	6842	6924
497	6857	6912
498	6872	6899
499	6886	6886
500	6898	6870
501	6911	6856
502	6925	6843
503	6939	6829
504	6955	6817
505	6969	6804
506	6982	6789
507	6994	6774
508	7007	6760
509	7021	6746
510	7036	6733
511	7052	6721
512	7067	6709
513	7084	6698
514	7098	6685
515	7110	6669
516	7123	6655
517	7137	6641
518	7151	6627
519	7166	6615
520	7179	6600
521	7190	6584
522	7204	6570
523	7218	6557
524	7232	6544
525	7243	6527
526	7255	6512
527	7268	6497
528	7283	6485
529	7298	6471
530	7311	6457
531	7324	6443
532	7338	6429
533	7352	6416
534	7365	6401
535	7380	6389
536	7394	6375
537	7405	6359
538	7418	6345
539	7433	6332
540	7448	6319
541	7461	6305
542	7474	6290
543	7487	6276
544	7503	6264
545	7516	6250
546	7530	6236
547	7545	6223
548	7559	6209
549	7573	6196
550	7584	6180
551	7599	6167
552	7614	6154
553	7629	6141
554	7642	6127
555	7655	6113
556	7668	6098
557	7681	6084
558	7695	6071
559	7712	6060
560	7728	6047
561	7742	6034
562	7756	6020
563	7767	6004
564	7780	5990
565	7794	5976
566	7807	5962
567	7821	5949
568	7834	5934
569	7846	5919
570	7860	5905
571	7874	5892
572	7889	5878
573	7903	5865
574	7918	5852
575	7935	5841
576	7948	5827
577	7959	5811
578	7974	5798
579	7987	5783
580	8000	5769
581	8012	5754
582	8023	5739
583	8037	5725
584	8052	5712
585	8066	5698
586	8080	5685
587	8091	5669
588	8104	5655
589	8118	5641
590	8132	5628
591	8149	5616
592	8163	5602
593	8174	5587
594	8188	5573
595	8201	5559
596	8214	5545
597	8228	5531
598	8241	5517
599	8252	5501
600	8266	5487
601	8280	5474
602	8295	5461
603	8309	5448
604	8320	5432
605	8336	5419
606	8349	5405
607	8365	5393
608	8379	5379
609	8393	5366
610	8408	5353
611	8421	5339
612	8433	5324
613	8446	5309
614	8461	5297
615	8477	5284
616	8491	5271
617	8503	5256
618	8515	5241
619	8528	5227
620	8541	5212
621	8556	5199
622	8573	5188
623	8587	5174
624	8601	5160
625	8615	5147
626	8628	5132
627	8641	5118
628	8654	5104
629	8667	5090
630	8680	5076
631	8693	5062
632	8706	5047
633	8719	5033
634	8733	5020
635	8745	5005
636	8758	4991
637	8771	4977
638	8788	4964
639	8803	4951
640	8816	4937
641	8828	4923
642	8839	4908
643	8854	4894
644	8867	4880
645	8882	4867
646	8894	4852
647	8905	4837
648	8920	4824
649	8934	4810
650	8948	4797
651	8958	4781
652	8970	4766
653	8984	4753
654	8999	4740
655	9014	4727
656	9026	4712
657	9039	4698
658	9064	4690
659	9077	4676
660	9087	4660
661	9102	4647
662	9115	4633
663	9129	4619
664	9142	4605
665	9153	4590
666	9166	4576
667	9181	4563
668	9196	4549
669	9211	4536
670	9225	4523
671	9237	4508
672	9252	4495
673	9266	4481
674	9278	4467
675	9292	4453
676	9306	4439
677	9319	4426
678	9332	4412
679	9346	4398
680	9366	4387
681	9388	4377
682	9405	4365
683	9430	4357
684	9458	4349
685	9481	4340
686	9497	4327
687	9513	4314
688	9529	4301
689	9545	4288
690	9562	4276
691	9577	4262
692	9594	4250
693	9610	4237
694	9627	4225
695	9646	4213
696	9662	4200
697	9678	4187
698	9694	4174
699	9709	4161
700	9725	4148
701	9741	4135
702	9758	4122
703	9775	4110
704	9791	4097
705	9810	4085
706	9836	4076
707	9873	4072
708	9902	4064
709	9988	4079
710	10051	4085
711	10119	4093
712	10164	4091
713	10197	4084
714	10232	4078
715	10256	4068
716	10272	4054
717	10287	4040
718	10301	4025
719	10315	4011
720	10331	3997
721	10347	3984
722	10362	3969
723	10376	3955
724	10391	3941
725	10403	3926
726	10417	3911
727	10430	3897
728	10444	3882
729	10458	3868
730	10472	3853
731	10484	3838
732	10498	3824
733	10511	3809
734	10526	3795
735	10540	3780
736	10557	3767
737	10571	3753
738	10587	3739
739	10599	3724
740	10615	3710
741	10628	3695
742	10644	3682
743	10662	3668
744	10680	3655
745	10710	3646
746	10730	3634
747	10747	3620
748	10770	3609
749	10804	3601
750	10838	3593
751	10876	3586
752	10906	3577
753	10931	3566
754	10950	3553
755	10967	3539
756	10984	3526
757	11003	3512
758	11019	3498
759	11033	3484
760	11048	3470
761	11059	3454
762	11074	3439
763	11088	3425
764	11102	3410
765	11116	3395
766	11130	3381
767	11145	3367
768	11157	3351
769	11170	3336
770	11183	3321
771	11200	3307
772	11218	3294
773	11236	3281
774	11264	3270
775	11282	3256
776	11302	3243
777	11334	3234
778	11366	3224
779	11394	3213
780	11423	3203
781	11453	3192
782	11476	3180
783	11490	3165
784	11507	3151
785	11529	3139
786	11572	3131
787	11599	3120
788	11639	3112
789	11677	3104
790	11700	3091
791	11722	3078
792	11736	3063
793	11751	3048
794	11762	3033
795	11776	3018
796	11789	3002
797	11802	2987
798	11819	2973
799	11832	2958
800	11844	2942
801	11859	2927
802	11873	2912
803	11888	2898
804	11902	2883
805	11917	2868
806	11931	2853
807	11943	2838
808	11967	2825
809	11997	2814
810	12014	2799
811	12042	2788
812	12072	2776
813	12106	2766
814	12123	2751
815	12151	2739
816	12179	2728
817	12204	2715
818	12219	2700
819	12234	2685
820	12253	2671
821	12267	2656
822	12281	2641
823	12295	2626
824	12311	2611
825	12328	2597
826	12348	2583
827	12377	2571
828	12410	2559
829	12439	2547
830	12457	2533
831	12485	2521
832	12505	2507
833	12545	2497
834	12563	2482
835	12579	2467
836	12597	2453
837	12611	2437
838	12625	2422
839	12640	2407
840	12656	2392
841	12670	2377
842	12684	2362
843	12703	2348
844	12745	2337
845	12770	2324
846	12792	2310
847	12829	2299
848	12861	2287
849	12879	2272
850	12895	2257
851	12911	2242
852	12934	2228
853	12960	2215
854	12983	2201
855	13006	2188
856	13026	2173
857	13050	2159
858	13076	2146
859	13105	2133
860	13186	2128
861	13221	2116
862	13246	2102
863	13272	2089
864	13301	2075
865	13355	2066
866	13405	2056
867	13445	2044
868	13478	2031
869	13499	2017
870	13518	2002
871	13544	1988
872	13564	1973
873	13582	1958
874	13600	1942
875	13630	1929
876	13650	1914
877	13679	1900
878	13699	1885
879	13723	1871
880	13740	1855
881	13760	1840
882	13780	1825
883	13801	1811
884	13822	1796
885	13840	1780
886	13861	1765
887	13885	1751
888	13919	1738
889	13938	1722
890	13958	1707
891	13976	1692
892	13998	1677
893	14020	1662
894	14043	1647
895	14067	1632
896	14094	1618
897	14121	1603
898	14141	1588
899	14159	1573
900	14177	1557
901	14197	1542
902	14218	1527
903	14236	1511
904	14255	1496
905	14283	1481
906	14319	1468
907	14343	1453
908	14364	1438
909	14384	1422
910	14408	1407
911	14430	1392
912	14449	1376
913	14471	1361
914	14506	1347
915	14535	1332
916	14557	1317
917	14576	1302
918	14596	1286
919	14614	1270
920	14640	1255
921	14662	1240
922	14686	1225
923	14721	1210
924	14748	1195
925	14769	1180
926	14790	1164
927	14810	1149
928	14829	1133
929	14851	1117
930	14869	1102
931	14890	1086
932	14919	1071
933	14945	1056
934	14974	1040
935	14995	1025
936	15020	1009
937	15040	994
938	15058	978
939	15076	962
940	15096	946
941	15115	930
942	15139	915
943	15162	899
944	15184	883
945	15207	868
946	15235	852
947	15264	837
948	15283	821
949	15303	805
950	15346	790
951	15412	777
952	15452	762
953	15500	747
954	15522	731
955	15548	715
956	15796	709
957	15864	695
958	15932	681
959	15982	665
960	16049	651
961	16151	637
962	16169	621
963	16185	604
964	16203	587
965	16227	571
966	16258	554
967	16298	538
968	16335	522
969	16367	506
970	16396	489
971	16416	472
972	16443	456
973	16463	439
974	16481	422
975	16516	406
976	16543	389
977	16561	372
978	16579	355
979	16596	338
980	16612	321
981	16630	304
982	16652	287
983	16673	271
984	16691	254
985	16712	237
986	16728	220
987	16743	203
988	16758	186
989	16773	169
990	16788	152
991	16801	135
992	16813	118
993	16827	101
994	16843	84
995	16856	67
996	16872	50
997	16892	33
998	16914	16
999	16938	0
