iter	Logloss
0	0.6770662342
1	0.6620587581
2	0.647595293
3	0.6354097295
4	0.6238331553
5	0.6131079327
6	0.6037724903
7	0.5966013464
8	0.5926889518
9	0.5854934068
10	0.5794685438
11	0.5724331876
12	0.5662111576
13	0.5608682014
14	0.5560349067
15	0.5513476681
16	0.546817306
17	0.54242214
18	0.5387435499
19	0.535353833
20	0.5326220627
21	0.5296424554
22	0.5263556283
23	0.5228317497
24	0.5206941057
25	0.519212464
26	0.5170100273
27	0.5148895593
28	0.5124786559
29	0.5103562849
30	0.5092638928
31	0.5079144284
32	0.5068741745
33	0.5051025833
34	0.5040020429
35	0.5014214578
36	0.4998292928
37	0.4983681067
38	0.4974671352
39	0.4966989822
40	0.4955608477
41	0.4940728164
42	0.4929754239
43	0.4921331061
44	0.4909894368
45	0.4900909049
46	0.4890197871
47	0.4877342346
48	0.4874600585
49	0.4868778325
50	0.4858412866
51	0.4853753228
52	0.4844980436
53	0.484428624
54	0.4843341983
55	0.4833260946
56	0.4828486163
57	0.4821104551
58	0.481026414
59	0.4803006704
60	0.4793807405
61	0.4785660742
62	0.4778608833
63	0.4766069076
64	0.4759261488
65	0.47498435
66	0.4744366511
67	0.4734976473
68	0.4732490178
69	0.4728867274
70	0.4722492789
71	0.4718530676
72	0.4711310525
73	0.4707316585
74	0.4701440674
75	0.4696520826
76	0.4692321348
77	0.4684007806
78	0.4679068116
79	0.4674665372
80	0.4672313663
81	0.4672000056
82	0.4667654233
83	0.4665129369
84	0.4661264597
85	0.4656447608
86	0.465409596
87	0.4651772366
88	0.4642041845
89	0.4634327772
90	0.4633703406
91	0.4627558159
92	0.4622828826
93	0.4618092974
94	0.461575659
95	0.4612650423
96	0.4610802335
97	0.4603362818
98	0.4598653448
99	0.4595025169
100	0.4594277509
101	0.4588024529
102	0.4585074394
103	0.4581954165
104	0.4574974885
105	0.4570729343
106	0.4567597525
107	0.4567567148
108	0.4564140441
109	0.4561364785
110	0.4558664488
111	0.455619278
112	0.4553310262
113	0.4549626104
114	0.4545414657
115	0.454534411
116	0.4542138441
117	0.4537737144
118	0.4534357326
119	0.4530324103
120	0.4526724821
121	0.4525334349
122	0.4521143478
123	0.4514651652
124	0.4509665168
125	0.4504739668
126	0.4498755098
127	0.4493186263
128	0.4489137755
129	0.4485928017
130	0.448394895
131	0.448087946
132	0.4478572197
133	0.447395858
134	0.4473158529
135	0.4469651197
136	0.4464285998
137	0.4461744357
138	0.4456143995
139	0.4450145468
140	0.444488877
141	0.4444608347
142	0.4441338746
143	0.4437911815
144	0.4429540973
145	0.4425057206
146	0.4421016096
147	0.4417848521
148	0.4413595602
149	0.4411158078
150	0.4409861113
151	0.4408341835
152	0.4404907746
153	0.4401741874
154	0.4397034945
155	0.4392866635
156	0.4389224676
157	0.4383835726
158	0.4381809166
159	0.437757011
160	0.4375347539
161	0.4374346216
162	0.4370642745
163	0.4368182966
164	0.4366103755
165	0.4360981228
166	0.4356674668
167	0.4354069485
168	0.4353212548
169	0.4348740548
170	0.4344126954
171	0.4338876709
172	0.4335536831
173	0.433345503
174	0.4329780835
175	0.4324994973
176	0.4323292799
177	0.432078837
178	0.4320773071
179	0.4316251866
180	0.4315064731
181	0.4312590665
182	0.4308394801
183	0.4305822416
184	0.4301259937
185	0.4297307133
186	0.4293561284
187	0.4293550519
188	0.4290928281
189	0.4286699733
190	0.4284675171
191	0.4283943555
192	0.4282666188
193	0.4281683372
194	0.4280072876
195	0.427815625
196	0.4275049605
197	0.4271241278
198	0.427085109
199	0.4267293619
200	0.4262785698
201	0.4262316969
202	0.4259877661
203	0.4254139606
204	0.4248738092
205	0.4246526
206	0.4242643604
207	0.424025944
208	0.4239558359
209	0.4237537155
210	0.423341146
211	0.423132592
212	0.4229876943
213	0.422785438
214	0.4222577827
215	0.4220716213
216	0.4219313258
217	0.4217273348
218	0.4216692509
219	0.4212121554
220	0.420434387
221	0.4202916757
222	0.4199757751
223	0.4194477463
224	0.4194314954
225	0.4188957724
226	0.4187422312
227	0.418578498
228	0.4180348106
229	0.4177620764
230	0.4176796062
231	0.4172400275
232	0.4169751307
233	0.4167498299
234	0.4161882149
235	0.4157573399
236	0.4150972215
237	0.4148852257
238	0.4143586562
239	0.4139789026
240	0.4135145597
241	0.4129318567
242	0.412701887
243	0.4121879314
244	0.4119436586
245	0.4119338953
246	0.4116907386
247	0.4113970233
248	0.4113413302
249	0.4111209028
250	0.4105602436
251	0.4102862121
252	0.4101162852
253	0.4093054348
254	0.4091236891
255	0.4089113771
256	0.4082025707
257	0.4074228016
258	0.406431475
259	0.4056824506
260	0.4044605008
261	0.4042188937
262	0.4034244973
263	0.4026730853
264	0.4021357961
265	0.4015609939
266	0.4012834003
267	0.4010229881
268	0.400136983
269	0.3995303781
270	0.398994846
271	0.3985114143
272	0.397980807
273	0.3972789524
274	0.3970845694
275	0.3964496323
276	0.3959016974
277	0.3955446103
278	0.3949102415
279	0.3945011175
280	0.3939201974
281	0.3930245688
282	0.3923929029
283	0.3920085638
284	0.3912776089
285	0.3903494827
286	0.3899777459
287	0.3891353991
288	0.3887548961
289	0.3881113726
290	0.3873018305
291	0.3866672215
292	0.3858788575
293	0.3856519407
294	0.3848732818
295	0.3842174067
296	0.3836423428
297	0.3829660841
298	0.3822360976
299	0.3814662914
300	0.3809904238
301	0.3805254405
302	0.3796009766
303	0.3791150008
304	0.3785522253
305	0.378101479
306	0.3776393291
307	0.3772324091
308	0.3767072788
309	0.3764524866
310	0.3761689272
311	0.3754474406
312	0.3749460987
313	0.3745149235
314	0.3740657338
315	0.3732403065
316	0.3727467133
317	0.372414207
318	0.3720285916
319	0.3716523981
320	0.3714346983
321	0.3710192567
322	0.3704806086
323	0.36966035
324	0.3689943315
325	0.3686658012
326	0.3681206967
327	0.3674234482
328	0.3671363439
329	0.3668440387
330	0.366434997
331	0.3659363982
332	0.3654549194
333	0.3647773381
334	0.3645579217
335	0.3642461722
336	0.3636450482
337	0.3631113995
338	0.3625265081
339	0.3620187958
340	0.3615963135
341	0.3609538844
342	0.360765822
343	0.3604457173
344	0.3596333273
345	0.3593089805
346	0.3585541967
347	0.3581631145
348	0.3579937009
349	0.3572916739
350	0.3569561295
351	0.3566287277
352	0.3561689129
353	0.3557158212
354	0.3551301708
355	0.3547024759
356	0.3542122189
357	0.3533938511
358	0.3529116561
359	0.3524710459
360	0.352254628
361	0.3518618004
362	0.3515986238
363	0.3512561829
364	0.3509533705
365	0.3506487996
366	0.3504396968
367	0.3500158326
368	0.349600349
369	0.3490570279
370	0.3488847295
371	0.3484307283
372	0.3475546618
373	0.3469808467
374	0.3467287657
375	0.3463652943
376	0.3453247291
377	0.3446362751
378	0.3439640296
379	0.3430844312
380	0.3426187686
381	0.3421096311
382	0.34158258
383	0.3409044047
384	0.3404654055
385	0.33985051
386	0.3394412053
387	0.338783836
388	0.3383067396
389	0.3379356924
390	0.337556144
391	0.3369156882
392	0.3365409352
393	0.3359431498
394	0.3355788667
395	0.3351569524
396	0.3349305363
397	0.3344440928
398	0.333939106
399	0.3336026872
400	0.3330245554
401	0.3326613012
402	0.3321781964
403	0.3318067362
404	0.3313560283
405	0.3308316636
406	0.3304484968
407	0.3301221334
408	0.329391503
409	0.3292133155
410	0.3287057371
411	0.3284880676
412	0.3282278129
413	0.3277697173
414	0.3275523842
415	0.327348741
416	0.3269918664
417	0.3261438704
